Index,Part Number,What the item is for in your project,Description,Pack Quantity,ID,Unit Price,Total Price,Total
1,IQS7222A001QNR,Capacitive sensor,9 CHANNEL MUTUAL / 8 SELF+AC0- CAPAC,2,1790+AC0-IQS7222A001QNRCT+AC0-ND,0.82,1.64,109.339
2,ESP32+AC0-C3+AC0-WROOM+AC0-02+AC0-H4,MCU,RF TXRX MOD BT WIFI PCB TH SMD,1,1965+AC0-ESP32+AC0-C3+AC0-WROOM+AC0-02+AC0-H4CT+AC0-ND,3.51,3.51,
3,IRM+AC0-20+AC0-24,PSU,AC/DC CONVERTER 24V 22W,1,1866+AC0-3040+AC0-ND,9.2,9.2,
4,AP63203WU+AC0-7,3.3V buck,IC REG BUCK 3.3V 2A TSOT23+AC0-6,2,AP63203WU+AC0-7DICT+AC0-ND,0.71,1.42,
5,AL5802+AC0-7,Led driver,IC LED DRVR LIN PWM 120MA SOT26,5,AL5802+AC0-7DICT+AC0-ND,0.23,1.15,
6,2N7002,mosfet to drive the led drivers,MOSFET N+AC0-CH 60V 280MA SOT23+AC0-3,3,4878+AC0-2N7002CT+AC0-ND,0.12,0.36,
7,GW JTLPS1.CM+AC0-HNKK+AC0-XX510+AC0-1+AC0-150+AC0-R33,2200k led,LED DURIS E2835 WHT 2200K 2835,10,475+AC0-GWJTLPS1.CM+AC0-HNKK+AC0-XX510+AC0-1+AC0-150+AC0-R33CT+AC0-ND,0.067,0.67,
8,GW JTLPS1.CM+AC0-JNKN+AC0-XX51+AC0-1+AC0-150+AC0-R33,6500k led,LED DURIS E2835 WHITE 6500K 2835,10,475+AC0-GWJTLPS1.CM+AC0-JNKN+AC0-XX51+AC0-1+AC0-150+AC0-R33CT+AC0-ND,0.067,0.67,
9,SRR5018+AC0-3R9Y,inductor,FIXED IND 3.9UH 2A 55 MOHM SMD,2,118+AC0-SRR5018+AC0-3R9YCT+AC0-ND,0.64,1.28,
10,12mm LED Gooseneck,12mm LED Gooseneck,30 cm silver Outer M10+AC0-Outer M10,1,https://es.aliexpress.com/item/1005007938186623.html,11.5,11.5,
11,703W+AC0-00/53,Power Connector,PWR ENT RCPT IEC320+AC0-C14 PNL SLDR,1,Q219+AC0-ND,1.54,1.54,
12,MF72+AC0-005D7,Inrush current limiter,ICL 5 OHM 20+ACU- 2A 9MM,2,317+AC0-1148+AC0-ND,0.43,0.86,
13,M3x30mm 4762,M3x30mm 4762,M3x30mm 4762,1,https://www.aliexpress.com/item/1005006453614010.html,3.105,3.105,
14,M10 nut,M10 nut,M10 nut,1,https://www.aliexpress.com/item/1005007593861199.html,3.0935,3.0935,
15,Soldering iron  heatset insert  tips,Soldering iron  heatset insert  tips,Soldering iron  heatset insert  tips,1,https://www.aliexpress.com/item/1005008493831823.html,21.3785,21.3785,
16,M3x6mm 4762,M3x6mm 4762,M3x6mm 4762,1,https://www.aliexpress.com/item/1005006453614010.html,2.139,2.139,
17,Wood Filament,Wood Filament,Wood Filament,1,https://www.aliexpress.com/item/1005006685394618.html,38.1685,38.1685,
18,30cm jstXH 4P,30cm jstXH 4P,30cm jstXH 4P,1,https://www.aliexpress.com/item/1005008319201640.html,2.5645,2.5645,
19,CL10A104KA8NNNC,Passive,CAP CER 0.1UF 25V X5R 0603,10,1276+AC0-1857+AC0-1+AC0-ND,0.028,0.28,
20,CL10A475KQ8NNNC,Passive,CAP CER 4.7UF 6.3V X5R 0603,10,1276+AC0-1045+AC0-1+AC0-ND,0.008,0.08,
21,CL10A225KQ8NNNC,Passive,CAP CER 2.2UF 6.3V X5R 0603,10,1276+AC0-1183+AC0-1+AC0-ND,0.032,0.32,
22,CL10A226MQ8NRNC,Passive,CAP CER 22UF 6.3V X5R 0603,5,1276+AC0-1193+AC0-1+AC0-ND,0.22,1.1,
23,CL10A104KA8NNNC,Passive,CAP CER 0.1UF 25V X5R 0603,10,1276+AC0-1857+AC0-1+AC0-ND,0.028,0.28,
24,CL05C101JB5NNNC,Passive,CAP CER 100PF 50V C0G/NP0 0402,10,1276+AC0-1025+AC0-1+AC0-ND,0.003,0.03,
25,61300411121,Passive,CONN HEADER VERT 4POS 2.54MM,2,732+AC0-5317+AC0-ND,0.17,0.34,
26,CRCW0603470MJPEAHR,Passive,RES SMD 470M OHM 5+ACU- 1/10W 0603,10,541+AC0-470MAHCT+AC0-ND,0.151,1.51,
27,RC0603FR+AC0-074K7L,Passive,RES 4.7K OHM 1+ACU- 1/10W 0603,10,311+AC0-4.70KHRCT+AC0-ND,0.009,0.09,
28,RC0603FR+AC0-071KL,Passive,RES 1K OHM 1+ACU- 1/10W 0603,10,311+AC0-1.00KHRCT+AC0-ND,0.009,0.09,
29,RC0603FR+AC0-0710KL,Passive,RES 10K OHM 1+ACU- 1/10W 0603,10,311+AC0-10.0KHRCT+AC0-ND,0.009,0.09,
30,PTS815SJM250SMTRLFS,Esp32 buttons,SWITCH TACTILE SPST+AC0-NO 0.05A 12V,4,CKN12215+AC0-1+AC0-ND,0.22,0.88,
