Designator,Mid X,Mid Y,Rotation,Layer
0_11,86.59,-54.49,135.0,top
0_10,130.5,-34.62,90.0,top
0_9,91.4,-62.8,225.0,top
0_8,155.4,-66.49,270.0,top
0_7,142.2,-39.2,90.0,top
0_6,147.5,-58.3,90.0,top
0_5,87.3,-59.7,180.0,top
0_4,86.8,-64.96,0.0,top
0_3,86.0,-74.69,270.0,top
0_2,154.7,-76.675,180.0,top
0,83.792893,-57.292893,135.0,top
D1,97.5,-47.5,0.0,top
D10,97.5,-92.5,0.0,top
D11,112.5,-92.5,0.0,top
D12,112.5,-62.5,0.0,top
D13,127.5,-62.5,0.0,top
D14,127.5,-92.5,0.0,top
D15,142.5,-92.5,0.0,top
D16,142.5,-62.5,0.0,top
D2,97.5,-77.5,0.0,top
D3,112.5,-77.5,0.0,top
D4,112.5,-47.5,0.0,top
D5,127.5,-47.5,0.0,top
D6,127.5,-77.5,0.0,top
D7,142.4,-77.5,0.0,top
D8,142.5,-47.5,0.0,top
D9,97.5,-62.5,0.0,top
J1,121.425,-36.8125,0.0,bottom
Q1,92.0,-71.0,90.0,top
Q2,149.5,-70.0625,270.0,top
R1,85.0,-67.5,90.0,top
R2,88.5,-67.5,90.0,top
R3,152.9,-74.0,270.0,top
R4,156.7,-73.925,270.0,top
U1,85.05,-71.0,90.0,top
U2,88.5,-71.0,90.0,top
U3,152.95,-70.0,270.0,top
U4,156.45,-70.0,270.0,top
